Year	Province	Division	District	Crime Type	Crime No	Population	Normalised/100000
2002	Punjab	Bahawalpur	Bahawalpur	All Reported	8440	2743000	307.6923077
2002	Punjab	Bahawalpur	Bahawalpur	Murder	105	2743000	3.827925629
2002	Punjab	Bahawalpur	Bahawalpur	Attempted Murder	226	2743000	8.239154211
2002	Punjab	Bahawalpur	Bahawalpur	Hurt	700	2743000	25.51950419
2002	Punjab	Bahawalpur	Bahawalpur	Rioting	12	2743000	0.437477215
2002	Punjab	Bahawalpur	Bahawalpur	Assault on Govt. Servants	39	2743000	1.421800948
2002	Punjab	Bahawalpur	Bahawalpur	Rape	63	2743000	2.296755377
2002	Punjab	Bahawalpur	Bahawalpur	Kidnapping/ Abduction	243	2743000	8.858913598
2002	Punjab	Bahawalpur	Bahawalpur	Dacoity	24	2743000	0.874954429
2002	Punjab	Bahawalpur	Bahawalpur	Robbery	195	2743000	7.109004739
2002	Punjab	Bahawalpur	Bahawalpur	Burglary	998	2743000	36.38352169
2002	Punjab	Bahawalpur	Bahawalpur	Motor Vehicles Theft	175	2743000	6.379876048
2002	Punjab	Bahawalpur	Bahawalpur	Cattle Theft	150	2743000	5.468465184
2002	Punjab	Bahawalpur	Bahawalpur	Ordinary Thefts	61	2743000	2.223842508
2002	Punjab	Bahawalpur	Bahawalpur	Misc.	5449	2743000	198.6511119
2002	Punjab	Bahawalpur	Bahawalnagar	All Reported	6728	2264000	297.1731449
2002	Punjab	Bahawalpur	Bahawalnagar	Murder	104	2264000	4.593639576
2002	Punjab	Bahawalpur	Bahawalnagar	Attempted Murder	139	2264000	6.139575972
2002	Punjab	Bahawalpur	Bahawalnagar	Hurt	595	2264000	26.28091873
2002	Punjab	Bahawalpur	Bahawalnagar	Rioting	10	2264000	0.441696113
2002	Punjab	Bahawalpur	Bahawalnagar	Assault on Govt. Servants	28	2264000	1.236749117
2002	Punjab	Bahawalpur	Bahawalnagar	Rape	44	2264000	1.943462898
2002	Punjab	Bahawalpur	Bahawalnagar	Kidnapping/ Abduction	146	2264000	6.448763251
2002	Punjab	Bahawalpur	Bahawalnagar	Dacoity	25	2264000	1.104240283
2002	Punjab	Bahawalpur	Bahawalnagar	Robbery	169	2264000	7.464664311
2002	Punjab	Bahawalpur	Bahawalnagar	Burglary	572	2264000	25.26501767
2002	Punjab	Bahawalpur	Bahawalnagar	Motor Vehicles Theft	80	2264000	3.533568905
2002	Punjab	Bahawalpur	Bahawalnagar	Cattle Theft	166	2264000	7.332155477
2002	Punjab	Bahawalpur	Bahawalnagar	Ordinary Thefts	43	2264000	1.899293286
2002	Punjab	Bahawalpur	Bahawalnagar	Misc.	4607	2264000	203.4893993
2002	Punjab	Bahawalpur	R.Y.Khan	All Reported	9032	3556000	253.9932508
2002	Punjab	Bahawalpur	R.Y.Khan	Murder	174	3556000	4.893138358
2002	Punjab	Bahawalpur	R.Y.Khan	Attempted Murder	157	3556000	4.415073116
2002	Punjab	Bahawalpur	R.Y.Khan	Hurt	720	3556000	20.24746907
2002	Punjab	Bahawalpur	R.Y.Khan	Rioting	27	3556000	0.75928009
2002	Punjab	Bahawalpur	R.Y.Khan	Assault on Govt. Servants	57	3556000	1.602924634
2002	Punjab	Bahawalpur	R.Y.Khan	Rape	68	3556000	1.912260967
2002	Punjab	Bahawalpur	R.Y.Khan	Kidnapping/ Abduction	222	3556000	6.242969629
2002	Punjab	Bahawalpur	R.Y.Khan	Dacoity	76	3556000	2.137232846
2002	Punjab	Bahawalpur	R.Y.Khan	Robbery	304	3556000	8.548931384
